Product ID,Product Name,Category,Price (NPR),Description,Stock Quantity,Brand,Rating,Tags
1,Bamboo Toothbrush,Personal Care,150,"Eco-friendly bamboo toothbrush, biodegradable",100,,,
2,Reusable Water Bottle,Kitchenware,500,"Stainless steel water bottle, BPA-free",50,,,
3,Organic Cotton T-shirt,Apparel,700,"100% organic cotton, eco-friendly dyes",200,,,
4,Biodegradable Plates,Kitchenware,300,Compostable and biodegradable plates,150,,,
5,Solar Powered Lamp,Home Decor,1200,"Solar-powered LED lamp, energy-efficient",80,,,
6,Eco-friendly Soap,Personal Care,250,"Handmade soap, natural ingredients",120,,,
7,Jute Shopping Bag,Accessories,400,"Durable jute bag, reusable and eco-friendly",70,,,
8,Wooden Phone Case,Accessories,800,"Sustainable wooden phone case, stylish design",90,,,
9,Organic Coffee Beans,Food & Beverages,1200,"Organic, fair-trade certified coffee beans",60,,,
10,Electric Toothbrush,Personal Care,2500,Rechargeable electric toothbrush with eco-friendly packaging,40,,,
11,Recycled Paper Notebook,Office Supplies,250,Notebook made from recycled paper,200,EcoNote,4.5,"eco-friendly, recyclable"
12,Bamboo Straws,Personal Care,100,Set of eco-friendly bamboo straws,500,BambooLife,4.0,"sustainable, biodegradable"
13,Eco-friendly Yoga Mat,Sports & Fitness,1200,"Non-toxic, eco-friendly yoga mat",100,GreenFit,4.7,"non-toxic, eco-friendly"
14,Compost Bin,Home Appliances,1500,"Compost bin for home use, easy to clean",80,CompostMaster,4.2,"compostable, eco-friendly"
15,Natural Face Cream,Personal Care,700,Natural ingredients face cream for all skin types,150,PureSkin,4.8,"natural, skincare"
16,Handmade Reusable Mask,Personal Care,350,"Handmade, reusable cotton masks",300,EcoMask,4.3,"reusable, sustainable"
17,Electric Car Charger,Home Appliances,5000,"Electric car charger, eco-friendly charging station",50,ChargeEco,4.9,"electric, eco-friendly"
18,Upcycled Denim Bag,Accessories,900,"Bag made from upcycled denim, stylish and durable",120,UpcycleStyle,4.1,"upcycled, sustainable"
19,Reusable Food Wrap,Kitchenware,400,"Beeswax-based food wrap, reusable and eco-friendly",250,WrapIt,4.6,"reusable, eco-friendly"
20,Sustainable Sunglasses,Accessories,2500,Sustainable sunglasses made from bamboo,60,BambooVision,4.5,"sustainable, bamboo"
